Paragraph,Chunk,result
"On the face of it, fictionalists are committed only to non-realism, rather than any particular ontological position, so agnosticism, anti-realism, and ontological anti-realism seem to present three viable options. Moreover, at least in the case of mathematics, all three forms of fictionalism have been defended in the literature. This plurality of options raises the question of whether fictionalists may be expected to lean more toward some ontological positions than others. The remainder of this paper will seek to answer this question.","On the face of it, fictionalists are committed only to non-realism, rather than any particular ontological position, so agnosticism, anti-realism, and ontological anti-realism seem to present three viable options. 
","at least in the case of mathematics, all three forms of fictionalism have been defended in the literature. This plurality of options raises the question of whether fictionalists may be expected to lean more toward some ontological positions than"
"Expanding these compositions through the layers, to show the summation of the activations within each layer gives: f (x) = nL-1 ΨL-1,iL,iL-1 (18)","
",
"Characterization of OER performance in PEMWE. We next demonstrate the outstanding catalytic performance of WP structures when applied to single-cell PEMWE devices. The current density of the single cell (Fig. 5a) containing WP1200 as the anodic catalyst increased as the number of stacking layers was raised from 10 layers to 30 layers, as shown in the I–V curve of Fig. 5c. This can be understood by the linearly enlarging surface area along the number of stacking layers, as conﬁrmed in the half-cell test (Supplementary Figs. 14a and 15). The same tendency was observed for WP400 and WP200 samples (Supplementary Fig. 20). Among the 30-layered WP Ir samples, the current densities were in the order of P1200 > P400 > P200 (Fig. 5d). The 30-layered P1200 sample recorded a maximum current density of 5.2 A cm−2 at 2.0 V, which is more than double of the conventionally reported maximum current densities of 1.0–3.0 A cm−2 at >1.8 V.","
",We next demonstrate the outstanding catalytic performance of WP structures when applied to single-cell PEMWE devices. The current density of the single cell containing WP1200 as the anodic catalyst increased as the number of stack
"Transition metal oxides are of interest for many applications other than electrochromic devices, for example, as catalysts, batteries, supercapacitors, and gas sensors. Therefore, there is a growing interest in multi-functional electrochromic devices, which can provide energy storage and energy production functionality together with control over light and/or heat [29,30]. Photoelectrochromic devices combine electrochromism with photovoltaic electricity generation in an integrated device [31,32]. The energy need of the electrochromic devices can be supplied from the photovoltaic part and directly used for the optical modulation without any demand for external power. Very recently, it was found that electrochromic devices can also exhibit tunable micro- wave dielectric properties [33]. Electrochromic batteries and electro- chromic supercapacitors integrate energy storage functions with optical modulation [34,35]. In particular, the ability to monitor the level of energy stored in the devices by the color variation makes electrochromic energy storage devices attractive.","Photoelectrochromic devices combine electrochromism with photovoltaic electricity generation in an integrated device 
 The energy need of the electrochromic devices can be supplied from the photovoltaic part and directly used for the optical modulation without any demand for external power. 
 Electrochromic batteries and electro- chromic supercapacitors integrate energy storage functions with optical modulation 
",Photoelectrochromic devices combine electrochromism with photovoltaic electricity generation in an integrated device The energy need of the electrochromic devices can be supplied from the photovoltaic part and directly used for the optical
"The number of fungal versus plant sequences amplified in silico with various ITS primer combinations directly from the raw data downloaded from EMBL (Table 1) mainly reflected the number of sequences deposited. However, the number of amplified sequences varied considerably with varying stringency conditions (in this context allowing zero to three mismatches) across different primer combinations (see Table 1 for details). Only a few plant ITS sequences were amplified using the fungus-specific primer ITS1-F (ranging from 20 to 24 sequences under different stringency conditions). Assessing these sequences using Blast, 20 out of 24 were revealed to be fungal sequences erroneously deposited as algae from an unpublished study (six Liagora species, two Caulerpa species, Helminthocladia australis, and Ganonema farinosum). There was a sequence deposited as Chorella matching a fungal sequence. The three others were Chlorarachniophyte species that did not match any known fungal sequence. Some of the other primer combinations, including ITS1-ITS2, amplified a high number of plant sequences from different orders. We also confirmed that the assumed basidiomycete-specific primer ITS4-B did not amplify any plant sequences even when allowing 3 mismatches.","The number of fungal versus plant sequences amplified in silico with various ITS primer combinations directly 
 the number of amplified sequences varied considerably with varying stringency conditions 
 Only a few plant ITS sequences were amplified using the fungus-specific primer ITS1-F 
 There was a sequence deposited as Chorella matching a fungal sequence. 
 The three others were Chlorarachniophyte species that did not match any known fungal sequence. 
 Some of the other primer combinations, including ITS1-ITS2, amplified a high number of plant sequences from different orders. 
 the assumed basidiomycete-specific primer ITS4-B did not amplify any plant sequences even when allowing 3 mismatches. 
","The number of fungal versus plant sequences amplified in silico with various ITS primer combinations directly from the raw data downloaded from EMBL However, the number of amplified sequences varied considerably with varying string"
"The overall proportion of people who reported ever having oral sex was 5.4% (190) and that of anal sex was 4.3% (154). Of these 51.6% (98) had oral sex and 57.1% (87) had anal sex in the past 12 months. Multiple partnerships were reported by 61.2% of the respondents who had oral sex and 51.1% of students practicing anal sex. Consistent condom use was reported by 12.2% of those practicing oral sex and 26.1% of anal sex. Reasons for oral and anal sex included prevention of pregnancy, preserving virginity, and reduction of HIV and STIs transmission. Oral sex practice was strongly and significantly associated with perception of best friends engagement in oral sex (AOR = 5.7; 95% CI 3.6-11.2) and having illiterate mothers (AOR = 11.5; 95%CI 6.4-18.5). Similarly, anal sex practice was strongly and significantly associated with favorable attitude towards anal sex (AOR = 6.2; 95%CI 3.8-12.4), and perceived best friends engagement in anal sex (AOR = 9.7; 95%CI 5.4-17.7).","The overall proportion of people who reported ever having oral sex was 5.4% (190) and that of anal sex was 4.3% (154). 
 Of these 51.6% (98) had oral sex and 57.1% (87) had anal sex in the past 12 months. 
 Multiple partnerships were reported by 61.2% of the respondents who had oral sex and 51.1% of students practicing anal sex. 
 Consistent condom use was reported by 12.2% of those practicing oral sex and 26.1% of anal sex. 
 Reasons for oral and anal sex included prevention of pregnancy, preserving virginity, and reduction of HIV and STIs transmission. 
",The overall proportion of people who reported ever having oral sex was 5.4% and that of anal sex was 4.3% Of these 51.6% had oral sex and 57.1% of students practicing anal s
"The appearance of Steven Tyler’s stage persona has been part of the discourse sur- rounding Aerosmith since the band became popular to a larger audience with their third album Toys In The Attic reaching number 11 of the Billboard Hot 200 in 1975. Retrospectively, in a 2016 interview, Tyler puts his gender appearance on stage in context with Aerosmith’s music: “‘I have never been afraid to show my androgynous side because I live through music,’ he said. ‘I think music is very feminine. In fact, I think I’ve got a—being a male, you know, like I’ve got 70, 60, 70 percent feminine in me that I live through, you know. I’ve got three daughters and a beautiful son and I live through female through my fashions, my hair, the way I dress. It just makes me—it seems to me that it goes along with the music, the Aerosmith music.’” (Toce 2016)","
",The appearance of Steven Tyler’s stage persona has been part of the discourse sur- rounding Aerosmith since the band became popular to a larger audience with their third album Toys In The Attic reaching number 11 of the Bill
"Plant protection in conventional agriculture is largely dependent on the use of synthetic pesticides. Conversely, organic farming generally relies on prevention and bio- logical means for plant protection, such as crop rotation, intercropping, resistant varieties, biological control employing natural enemies, hygiene practices and other measures [61–64]. Yet, certain pesticides are approved for use in organic agriculture. In the EU, pesticides (in this context, more specifically chemical plant-protection products; micro- and macrobiological agents are excluded from this discussion due to their low relevance for human health) are approved after an extensive evaluation, including a range of toxicological tests in animal studies [65]. Acceptable residue concentrations in food are calculated from the same documentation and from the expected concentrations in accordance with approved uses of the pesticides. Currently, 385 sub- stances are authorised as pesticides in the EU (Table 1). Of these, 26 are also approved for use in organic agriculture [6, 66] as evaluated in accordance with the same legal framework.","certain pesticides are approved for use in organic agriculture. 
 Currently, 385 sub- stances are authorised as pesticides in the EU 
 Of these, 26 are also approved for use in organic agriculture 
","Plant protection in conventional agriculture is largely dependent on the use of synthetic pesticides. organic farming generally relies on prevention and bio- logical means for plant protection, such as crop rotation, intercropping, resistant varieties, biological control"
"Here, we report that 3D-geometry-controlled Ir catalysts with a woodpile (WP) structure suggest a new direction for the OER electrocatalysts to improve the PEMWE performance. The WP structure is attained by systematic engineering of NW building blocks and 3D geometry, which is carried out via ultrahigh- resolution nanotransfer printing. The extensive controllability of the fabrication method enabled control of the NW-to-NW spacing and layer-to-layer alignment angles in the WP nanostructure. With this capability, we reveal that the simultaneous improvements of ECSA and ECSA-speciﬁc activity result from uniform access of water reactants to the catalytic surface and easy transport and removal of evolved oxygen gas products through the well-deﬁned pore channels, which is supported by the extensive control of 3D geometry and the scanning electro- chemical microscopy (SECM) analysis data combined with microﬂuidic calculations. Without any alteration of crystallographic structures or oxidation states, WP-structured Ir catalysts achieve a high mass activity value of 140 A/mg (at 1.8 V) in a single-cell PEMWE, which is 30 times higher than that of the state-of-the-art commercial Ir nanoparticle catalysts (Ir black).","The extensive controllability of the fabrication method enabled control of the NW-to-NW spacing and layer-to-layer alignment angles in the WP nanostructure. 
 we reveal that the simultaneous improvements of ECSA and ECSA-speciﬁc activity result from uniform access of water reactants to the catalytic surface and easy transport and removal of evolved oxygen gas products through the well-deﬁned pore channels 
",3D-geometry-controlled Ir catalysts with a woodpile (WP) structure suggest a new direction for the OER electrocatalysts to improve the PEMWE performance. The W
"The study included items dealing with the dependent variable oral and anal sexual behavior of students and potential independent factors at the individual, family, and peer level factors identified from previous studies [26,27,33,34]. The individual level factors included sex, age, self-esteem, attitude about sex, and educational aspirations. Family factors consisted of parental education level and family structure. Peer level factors com- prised of perceived oral and anal sexual experience of the participant’s best friends.","The study included items dealing with the dependent variable oral and anal sexual behavior of students and potential independent factors at the individual, family, and peer level factors identified from previous studies 
 The individual level factors included sex, age, self-esteem, attitude about sex, and educational aspirations. 
 Family factors consisted of parental education level and family structure. 
  Peer level factors com- prised of perceived oral and anal sexual experience of the participant’s best friends. 
","The study included items dealing with the dependent variable oral and anal sexual behavior of students and potential independent factors at the individual, family, and peer level factors identified from previous studies The individual level factors included sex, age, self-esteem"
"Widerker responds to Frankfurt as follows: since you, Frankfurt, wish to hold [Jones] blameworthy for his decision to break his promise, tell me what, in your opinion, should he have done in- stead? Now, you cannot claim that he should not have decided to break the promise, since this was something that was not in Jones’s power to do. Hence, I do not see how you can hold Jones blameworthy for his decision to break the promise. (2000: 191)","
","david widerker: you cannot claim that he should not have decided to break the promise, since this was something that was not in Jones’s power to do."
"All inhibition zone diameter results were recorded by the Sirweb software (i2a, Perols Cedex, France) and statistical parameters were calculated with the Microsoft Excel 2010 Software (Microsoft Corp., Redmond, WA).","
",All inhibition zone diameter results were recorded by the Sirweb software
"In fact, some arguments that have been advanced in ontological debates appear to relate our ontological beliefs to the things we do along similar lines. As an example, consider David Lewis’ (1986) argument for modal realism, the view that possible worlds exist. The argument begins with the observation that we often talk about possibilities in ordinary discourse. This aspect of our discourse has several purposes, one of which is to track alethiological relations involving modal sentences. According to the argument, the best way to make sense of the way we talk about possibilities is to interpret such talk in terms of possible worlds. And under this interpretation, we would fail to make adequate sense of alethiological relations involving modal sentences if possible worlds did not exist—as Lewis argues, ‘if we want the theoretical benefits that talk of possibilia brings, the most straightforward way to gain honest title to them is to accept such talk as the literal truth’ (1986: 4). Lewis concludes from this that we should accept the existence of possible worlds. According to the argument, therefore, the way we talk about possibilities can guide our ontological beliefs regarding possible worlds.","some arguments that have been advanced in ontological debates appear to relate our ontological beliefs to the things we do along similar lines. 
 According to the argument, the best way to make sense of the way we talk about possibilities is to interpret such talk in terms of possible worlds. 
 And under this interpretation, we would fail to make adequate sense of alethiological relations involving modal sentences if possible worlds did not exist 
 According to the argument, therefore, the way we talk about possibilities can guide our ontological beliefs regarding possible worlds. 
",some arguments that have been advanced in ontological debates appear to relate our ontological beliefs to the things we do along similar lines.
"Cadmium (Cd) is toxic to the kidneys, can demineralise bones and is carcinogenic [166]. Cd is present naturally in soils, and is also added to soils by P fertilisers and atmospheric deposition. Several factors, including soil structure and soil chemistry, humus content and pH, affect the plant availability of Cd [167]. The application of Cd-containing fertilisers increases Cd concentrations in the crops [167, 168]. Low soil organic matter generally increases the availability of Cd for crops [169], and organically managed farms tend to have higher soil organic matter than conventionally managed farms [11].","Cadmium (Cd) is toxic to the kidneys, can demineralise bones and is carcinogenic 
 Cd is present naturally in soils, and is also added to soils by P fertilisers and atmospheric deposition. 
 Several factors, including soil structure and soil chemistry, humus content and pH, affect the plant availability of Cd 
 Low soil organic matter generally increases the availability of Cd for crops 
 and organically managed farms tend to have higher soil organic matter than conventionally managed farms 
","Cadmium (Cd) is toxic to the kidneys, can demineralise bones and is carcinogenic"
"It is also important to reflect on how the idea of heritage built by the dominant classes has fostered perceptions of otherness. A consensual version of heritage is constructed by the state and privileged actors—what Laurajane Smith (2006) calls the “authorized discourse of heritage”—to the detriment of a diversity of possible histories and practices. In this way, the objects and practices identified as cultural heritage are generally the forms of life and objects produced by subaltern subjects, such as those from peasant communities and Indigenous groups, who rarely participate in the determination and management of what is considered heritage (Williams 2013; Taylor 2016). The construct of heritage as an internationally legible and mutable framework thus constitutes an essentialist exercise of power and representation through a selection process that simplifies and homogenizes identities over minoritized and othered individuals and communities.","the objects and practices identified as cultural heritage are generally the forms of life and objects produced by subaltern subjects, such as those from peasant communities and Indigenous groups, who rarely participate in the determination and management of what is considered heritage 
",It is also important to reflect on how the idea of heritage built by the dominant classes has fostered perceptions of otherness. A consensual version of heritage is constructed by the state and privileged actors—to the detriment
"Wild and fantastical animals climb, fly, scamper, and prance across pictorial stone carvings (huaxiang shi ???) decorating Eastern Han tomb doors in Shanbei (northern Shaanxi; see map Figure 1). Alongside dragons and other mythical animals, bears felicitously dance, tigers grin as they open their mouths to roar, and camels, deer, mountain goats, foxes, boar, and other wild animals appear in swirling cloudscapes. Anatomically distinct and naturally rendered, at the same time, these animals twist and turn in linear movements that are unrelated to the real action of bodies in space (Shih 1960a, p. 187). While these animals can be found in Eastern Han tomb reliefs and mortuary art in other regions, their frequency, emphasis on plasticity and movement, and combination with a swirling Han decorative motif, meant to suggest clouds and/or qi ? (pneuma/spirit), is unique to the region.","Wild and fantastical animals climb, fly, scamper, and prance across pictorial stone carvings 
 decorating Eastern Han tomb doors in Shanbei 
 Anatomically distinct and naturally rendered, at the same time, these animals twist and turn in linear movements that are unrelated to the real action of bodies in space 
 While these animals can be found in Eastern Han tomb reliefs and mortuary art in other regions, their frequency, emphasis on plasticity and movement, and combination with a swirling Han decorative motif, meant to suggest clouds and/or qi ? (pneuma/spirit), is unique to the region. 
","Wild and fantastical animals climb, fly, scamper, and prance across pictorial stone carvings decorating Eastern Han tomb doors in Shanbei Alongside dragons and other mythical animals, bears felicitously dance, tigers"
"Data on participant school grade, sex, weight, and height were obtained from school records. Participants were divided into lower-grade (grades 1 − 3) or higher-grade (grades 4 − 6) groups. During normal school medical check-ups in April 2010 and 2014, weight and height were measured by a trained nurse or class teacher using the school’s stadiometers and weighing scales. Body mass index (BMI) was calculated from the height and weight data (weight/height2).","Participants were divided into lower-grade 
 or higher-grade, groups. 
 Body mass index (BMI) was calculated from the height and weight data 
","Data on participant school grade, sex, weight, and height were obtained from school records. Participants were divided into lower-grade (grades 1  3) or higher-grade (grades 4  6) groups."
"In the lyrics, the protagonist describes her dark, melancholic feelings, such as fears, pain, and tiredness, which she feels due to the absence of the addressee: “I’m so tired of being here /Suppressed by all my childish fears”; or in the prechorus: “These wounds won’t seem to heal /This pain is just too real /There’s just too much that time cannot erase.” The absent person haunts the protagonist like a ghost, robbing her of her sanity: “Your face, it haunts my once pleasant dreams /Your voice, it chased away all the sanity in me.” The lyrics can be understood polysemously, as addressing a separation or the death of a loved one, and they have also been understood in both ways in reception. By addressing death, mourning, loneliness, and madness, the lyrics include typical motifs of the gothic genre with its focus on the “dark sides of human nature” and “individual sensitivity” (Braudy 2003, p. 250). Such dark motifs and feelings being associated with the current of dark romanticism in terms of cultural history are also taken up in the ballad’s music video.","Such dark motifs and feelings being associated with the current of dark romanticism in terms of cultural history are also taken up in the ballad’s music video. 
","By addressing death, mourning, loneliness, and madness, the lyrics include typical motifs of the gothic genre with its focus on the “dark sides of human nature” and “individual sensitivity”"
"When fictionalists have reasons not to hold ontological anti-realism, whether they incline toward anti-realism or agnosticism depends on what they say about the indispensability of the entities in question to the relevant practices. Following the example above, if they hold that mathematics is not indispensable to science, this is a reason for anti-realism about mathematical entities; if fictionalists hold instead that we do not know whether mathematics is indispensable to science, this is a reason for agnosticism. Here, again, there are reasons to think that one of these options is more natural. The fact that we do use numbers in science is some prima facie reason to think that numbers are indispensable to science. While these reasons are by no means decisive, they suggest that if we see no way of doing science without mathematics, then the only way we know of doing science is with mathematics, and this is a reason to think that mathematics is indispensable to science. To resist realism, therefore, what the fictionalist needs is some reason to think that there might be a way of doing science without mathematics. The most straightforward way to provide such reasons, it seems, is to provide a positive demonstration that science can be done without mathematics. But this would imply that mathematics is in fact not indispensable to science, and that our scientific practices incline us toward anti-realism. So insofar as fictionalists take our practices to inform our ontological commitments (as they typically do), they may be expected to prefer anti-realism over agnosticism if they do not hold ontological anti-realism.","When fictionalists have reasons not to hold ontological anti-realism, whether they incline toward anti-realism or agnosticism depends on what they say about the indispensability of the entities in question to the relevant practices. 
 So insofar as fictionalists take our practices to inform our ontological commitments 
 they may be expected to prefer anti-realism over agnosticism if they do not hold ontological anti-realism. 
","When fictionalists have reasons not to hold ontological anti-realism, whether they incline toward anti-realism or agnosticism depends on what they say about the indispensability of the entities in"
"With regard to Extreme’s “core audience” in terms of their (hard) rock fans, it is revealing to take a look at the discourse in music criticism not the least since the latter includes evidence on how the evaluation of crossing-over from rock to ballad-pop is combined with assumptions about the genres’ gendered connotations. For instance, a review published in the German magazine Rock Hard about Pornograffiti’s follow-up album III Sides To Every Story (1992) refers to “More Than Words” and its popular success in an insinuating manner: “The replacement program turns out to be extremely worth listening to upon closer inspection, but it remains to be asked whether EXTREME haven’t dug their commercial grave with this follow-up to their big breakthrough. [ . . . ] Brian May will understand ‘III Sides To Every Story’, but the little girls will NOT understand. Any bets: this disc will not be a smash.” (Rock Hard 1992)","
",it remains to be asked whether EXTREME haven’t dug their commercial grave with this follow-up to their big breakthrough.
"The work presented here aims to continue to expand our understanding of the intestinal flora including its establishment, composition, and evolution. To that end, we focused on the important ratio between Firmicutes and Bacteroidetes. We used a qPCR-based approach to enumerate changes in bacterial populations in the human intestine.","we focused on the important ratio between Firmicutes and Bacteroidetes. 
 We used a qPCR-based approach to enumerate changes in bacterial populations in the human intestine. 
",
"This study also illustrates potential benefits of using a bioinformatics approach before selecting primer pairs for a given study. We nevertheless emphasize that an in silico analysis does not necessarily reflect the performance of the primers in vitro, since there are many other PCR parameters such as ITS copy number, amplification program, and salt and primer concentration in the PCR mix that cannot easily be simulated. This study should therefore be followed up by in vitro PCR analyses of the fungal ITS primers where biases are measured based on sequence output, although it will be a huge task to control and check for all types of biases that might be involved. We are currently performing further bioinformatics analyses using the tool 'ecoPrimer' (http://www.grenoble.prabi.fr/trac/ecoPrimers; Riaz et al. unpublished) to identify the most appropriate barcoding primers within the ITS region and other regions, with the intent of determining whether new ITS primers, such as those recently published by Martin and Rygiewicz [20], should replace the currently used ones.","
","This study should therefore be followed up by in vitro PCR analyses of the fungal ITS primers where biases are measured based on sequence output, although it will be a huge task to control and check for all types"
"Plant protection practices developed in and for organic agriculture may be of benefit to the entire agricultural system [67–70]. This is of specific value for the transition towards sustainable use of pesticides in the EU, which has a strong emphasis on non- chemical plant protection measures including prevention and biological agents [63, 64]. Further, steam treatment of cereal seeds for the prevention of fungal diseases (http://thermoseed.se/) has been developed driven by the needs of organic agriculture as an alternative to chemical seed treatments [71, 72]. These methods are now also being marketed for conventional agriculture, specifically for integrated pest management (IPM) [73].","Plant protection practices developed in and for organic agriculture may be of benefit to the entire agricultural system 
 steam treatment of cereal seeds for the prevention of fungal diseases 
 has been developed driven by the needs of organic agriculture as an alternative to chemical seed treatments 
 ","plant protection practices developed in and for organic agriculture may be of benefit to the entire agricultural system This is of specific value for the transition towards sustainable use of pesticides in the EU, which has a strong emphasis on non- chemical plant protection"
"Alternatively, fictionalists may adopt a stronger anti-realist view that denies the existence of the entities in question. Anti-realist fictionalists agree with agnostic fictionalists that we can make sense of the things we do with the disputed entities without appealing to their existence. However, they take this to mean that we should deny the existence of those entities. Hartry Field, for instance, once defended an anti-realist form of mathematical fictionalism on such grounds. After arguing that his fictionalist view can account for the applications of mathematics to science, he says Admittedly, we can’t have direct evidence against mathematical entities…but it seems to me undue epistemological caution to maintain agnosticism rather than flat out disbelief…I think it natural to go beyond agnosticism and assert that mathematical entities do not exist. (1989: 45)","fictionalists may adopt a stronger anti-realist view that denies the existence of the entities in question. 
 nti-realist fictionalists agree with agnostic fictionalists that we can make sense of the things we do with the disputed entities without appealing to their existence. 
 they take this to mean that we should deny the existence of those entities. 
","Anti-realist fictionalists agree with agnostic fictionalists that we can make sense of the things we do with the disputed entities without appealing to their existence. However, they take this to mean that we should den"
"This review summarises existing evidence on the impact of organic food on human health. It compares organic vs. conventional food production with respect to parameters important to human health and discusses the potential impact of organic management practices with an emphasis on EU conditions. Organic food consumption may reduce the risk of allergic disease and of overweight and obesity, but the evidence is not conclusive due to likely residual confounding, as consumers of organic food tend to have healthier lifestyles overall. However, animal experiments suggest that identically composed feed from organic or conventional production impacts in different ways on growth and development. In organic agriculture, the use of pesticides is restricted, while residues in conventional fruits and vegetables constitute the main source of human pesticide exposures. Epidemiological studies have reported adverse effects of certain pesticides on children’s cognitive development at current levels of exposure, but these data have so far not been applied in formal risk assessments of individual pesticides.","This review summarises existing evidence on the impact of organic food on human health. 
 It compares organic vs. conventional food production with respect to parameters important to human health and discusses the potential impact of organic management practices with an emphasis on EU conditions. 
 Organic food consumption may reduce the risk of allergic disease and of overweight and obesity, but the evidence is not conclusive 
 animal experiments suggest that identically composed feed from organic or conventional production impacts in different ways on growth and development. 
  In organic agriculture, the use of pesticides is restricted, while residues in conventional fruits and vegetables constitute the main source of human pesticide exposures. 
",It compares organic vs. conventional food production with respect to parameters important to human health and discusses the potential impact of organic management practices with an emphasis on EU conditions. Organic food consumption may reduce the risk of allergic disease and of overweight
"Addis Ababa is the capital city of Ethiopia and has an estimated 3 million population. The youth population (15-24 year) constitutes about 20% of the total city population [31]. There were 70 secondary schools in the city (21 Government, 43 private and 6 foreign community schools) at the time of the study. The total number of high school students in the academic year 2008/2009 was 96571. Of this, 84352 students were attending Government high schools. About 49.0% of the Government and 55.4% of the Non-government school students were females [32].","
","The total number of high school students in the academic year 2008/2009 was 96571. Of this, 84352 students were attending Government high schools. About 49.0% of the Government and 55.4% of the Non-government school"
"Real-time qPCR was performed using an ABI 7000 Sequence Detection System apparatus with system software version 1.2.3 (Applied-Biosystems) [20,31]. Total numbers of bacteria were inferred from averaged standard curves as described by Lyons et al. [32].","Total numbers of bacteria were inferred from averaged standard curves as described by Lyons et al. 
",Total numbers of bacteria were inferred from averaged standard curves as described by Lyons et al.
where ο is the composition operator. We can now apply this operator to the discrete-time system to arrive at: KΔtg(xk) = g(f (xk)) = g(xk+1). (3),"
",
"Our antenatal growth curves are unique in that all four fetal growth parameters (BPD, HC, AC, and FL) were measured in standardized circumstances in accordance with international guidelines [26]. Longitudinal growth charts were constructed for each parameter, with the WHO advocated GAMLSS method used [22, 23]. GAMLSS can combine longitudinal data with a cross sectional component and can construct centiles in a way that they are constrained and do not cross. Further, in using the GAMLSS analysis statistics, one could, by synchronizing the statistical methods of the WHO, align the biometry measurements with the neonatal and pediatric charts [22, 23]. With the available neonatal data, we could discriminate different growth curves for boys and girls for all four fetal growth parameters and hence the EFW. Since the introduction of ultrasound in antenatal care, many reports on fetal growth curves have been published [11–21]. Recognizing pathological fetal growth depends on reliable, standardized growth curves [35]. Discrepancies between the curves have often been attributed to the differences in methodology and population selection [36]. A recent report reviewed fetal growth charts, demonstrating the wide variations of methodologies on how these charts have been constructed concluding that there were many grounds for bias in the growth curves that are currently used [37].  Particularly in “inclusion/exclusion criteria,” “ultrasound quality control measures,” and “gestational dating protocols,” many ambiguities existed. Standardization of the methodologies with a checklist was recommended to define a high quality study [37]. When we compare our growth charts to the requirements, these would be compliant for the combination of a high-quality control score, longitudinal design, sample size, and the fact that all four parameters (BPD, HC, AC, and FL) were examined (Additional file 6). All growth measurements were reviewed by certified staff members, judging all the scanned images as to whether they adhered to the protocol described. We also incorporated a strict protocol on pregnancy dating. Only pregnancies that had a first trimester confirmation scan on gestational age were included: crown-rump length (CRL) measurement between 3 and 83 mm (gestational age ≥ 5+0 and < 14+0 weeks) [4, 25]. In Belgium, in routine obstetrical care, every pregnant woman will be offered a first, second, and third trimester ultrasound scan with fetal growth measurements. In many countries, the third trimester scan is not part of the routine care for low-risk pregnancies [38]. Also, to measure the four fetal growth parameters in the first trimester is not a routine care and allowed us to define “fetal growth” through serial measurements, instead of “fetal size,” as defined through cross-sectional measurements [12–19, 39]. Furthermore, we were able to eliminate aberrant fetal growth and extreme maternal influences by excluding fetal anomalies (level 1 and 2 indications) and including only the mothers enrolled to a routine obstetric care scheme [40]. Finally, a population-based cohort was generated with a significant sample size over a period of 11 years. The description of a routine population could also be supported by our neonatal data. Neonatal data was complete for 76% in our cohort. The rate of premature birth was 6%, which is consistent with the European nationally accepted norms. In our population selection, we further customized the charts for one maternal and one fetal factor. We selected on ethnicity “Caucasian” and the fetal gender. Other ethnicity derived customized growth curves have arisen in response to the early reference charts from mainly Europe and the USA [18, 19]. Ethnicity was reported to have a discriminative influence on fetal growth [24, 41]. The aim of the INTERGROWTH-21st study was to construct prescriptive instead of descriptive curves using the same statistical methods as used in our study (GAMLLS) [42]. The study population comprised 35% of the pregnant population, recruited highly selected healthy, educated (> 75% of a local level), non-obese (BMI 18–30 kg/m2), non-smoking women, 18–35 years of age and recruited in selected institutes. This highly qualitative study (Additional file 6) represents a fascinating investigation of the physiology of fetal growth, concluding that optimal growth potential can be attained irrespective of the ethnicity in a selected population, which is in contradiction with the previous studies. Unfortunately, it lacks information on fetal gender differences; not all measurements were longitudinal, and the derived charts are by their selective nature manifestly not representative of a general population, regardless of the ethnicity concerned. Our current study adds these advantages. Girls and boys both have different neonatal growth curves, assuming there is a discriminative effect of the gender on their growth trajectories. In more than three quarters of our cohort, complete neonatal data was registered, including gender registration. Therefore, we focused on developing two separate fetal growth charts, both for boys and girls. Comparing the extremes of growth (< p5 and > p95), the female fetus is considered wrongfully small or non-macrosomic and the male fetus vice versa when compared to the INTERGROWTH-21st curves (Table 6). Fetal gender, unlike maternal ethnicity, is not commonly known in the first trimester but it is from the 20 weeks’ scan onwards (“anomaly” scan). From a clinical point of view, it seemed therefore relevant to start discriminating these curves from 20 weeks of gestation onwards.","Longitudinal growth charts were constructed for each parameter, with the WHO advocated GAMLSS method used 
 Recognizing pathological fetal growth depends on reliable, standardized growth curves 
 We also incorporated a strict protocol on pregnancy dating. 
 Only pregnancies that had a first trimester confirmation scan on gestational age were included: crown-rump length 
 measurement between 3 and 83 mm 
 we were able to eliminate aberrant fetal growth and extreme maternal influences by excluding fetal anomalies 
 and including only the mothers enrolled to a routine obstetric care scheme 
 a population-based cohort was generated with a significant sample size over a period of 11 years. 
 The rate of premature birth was 6%, which is consistent with the European nationally accepted norms. 
 Ethnicity was reported to have a discriminative influence on fetal growth 
 The study population comprised 35% of the pregnant population, recruited highly selected healthy, educated 
 non-obese 
 non-smoking women, 18–35 years of age and recruited in selected institutes. Girls and boys both have different neonatal growth curves, assuming there is a discriminative effect of the gender on their growth trajectories. 
 In more than three quarters of our cohort, complete neonatal data was registered, including gender registration. 
 Comparing the extremes of growth 
 the female fetus is considered wrongfully small or non-macrosomic and the male fetus vice versa when compared to the INTERGROWTH-21st curves 
","Our antenatal growth curves are unique in that all four fetal growth parameters were measured in standardized circumstances in accordance with international guidelines Longitudinal growth charts were constructed for each parameter, with the WHO advocated GA"
"Because the Koopman operator calculated with least-squares is an approximation, and as the observable functions do not span a Koopman invariant subspace, the predicted state is an approximation of the real state, thus we denote it with the ˆ symbol: Φˆ (xk+1) = KΦˆ (xk) + Buk. (13)","the predicted state is an approximation of the real state 
","Because the Koopman operator calculated with least-squares is an approximation, and as the observable functions do not span a Koopman invariant subspace, the predicted state is an approximation"
